brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
Audi,Q2,4x4,1598,85,7500,0, 0.66 ,25990
Volkswagen,Tiguan,4x4,1968,81,39000,0, 3.41 ,20999
Ford,Edge,4x4,1997,154,34220,0, 0.99 ,39900
Audi,A1,Berline,1422,66,14300,0, 1.50 ,18990
Opel,Corsa,Berline,1398,66,19581,0, 1.66 ,11489
Skoda,Octavia,Break,1598,77,120329,0, 5.50 ,8499
Volvo,XC90,4x4,2401,120,238559,0, 14.51 ,6950
Volkswagen,Caddy,Monovolume/Camionnette,1598,55,66000,0, 5.16 ,12990
Volkswagen,TRANSPORTER T6 1200 CARAVELLE SWB DSL-15,Monovolume/Camionnette,1968,150,49900,0, 1.66 ,49000
Citroen,C3,Berline,1199,60,5000,0, 0.08 ,12990
Opel,Astra,Berline,1598,100,15000,0, 1.50 ,18500
Toyota,Aygo,Berline,998,50,41000,0, 9.58 ,3999
Opel,Meriva,Monovolume/Camionnette,1248,70,101979,0, 6.75 ,7950
Mitsubishi,ASX,4x4,1798,85,67000,0, 2.67 ,15990
Chevrolet,el camino,Pick-Up,5000,110,4812,0, 34.85 ,17500
Volvo,V70,Break,1969,110,26500,0, 1.68 ,29890
Porsche,911,Cabriolet,3598,184,117000,0, 26.35 ,54500
Volvo,V40,Break,1969,90,1000,0, 0.33 ,21500
Kia,Rio,Berline,1248,63,74400,0, 5.67 ,7000
Opel,Zafira Tourer,Monovolume/Camionnette,1956,81,85500,0, 4.25 ,11500
Opel,Astra Sports Tourer,Break,1600,121,13500,0, 0.58 ,21000
Chrysler,Sebring,Cabriolet,1968,103,54000,0, 8.00 ,8999
Seat,Leon,Berline,1598,77,97885,0, 5.83 ,9490
Opel,Astra,Compacte,1686,81,92574,0, 2.91 ,10500
Volkswagen,CRAFTER 35 FOURGON MWB DSL,Van,1968,103,6150,0, 0.66 ,33900
Opel,Mokka,Berline,1364,76,8000,0, 1.16 ,18940
Porsche,911 2.4T,Cabriolet,2341,121,74975,0, 45.86 ,71000
Seat,Leon,Break,1598,81,21301,0, 1.83 ,17999
Citroen,C5,Berline,1997,120,35000,0, 2.33 ,23900
Audi,A6 Allroad,Break,2967,230,70000,0, 3.33 ,38950
Peugeot,407,Break,1997,103,79800,0, 8.00 ,8900
Volkswagen,Polo,Berline,1199,55,53000,0, 4.50 ,8990
Jaguar,XE,Berline,2995,280,3902,0, 0.66 ,51400
Ford,Focus CC,Cabriolet,1596,74,84000,0, 6.92 ,8999
Audi,A6 Allroad,Break,2967,150,157643,0, 4.50 ,24950
Alfa Romeo,GTV,Coupe,2500,118,36000,0, 30.43 ,21500
Volkswagen,1.6 CRTDI DPF Trendline 105PK EURO5,Break,1598,77,153856,0, 6.33 ,7250
BMW,420 Coupe,Coupe,1995,140,6043,0, 2.25 ,45400
Peugeot,2008,4x4,1560,55,28810,0, 1.73 ,13750
Dacia,Duster,4x4,1461,63,144000,0, 6.75 ,5950
Renault,Kadjar,4x4,1461,81,33500,0, 1.50 ,21800
Mercedes-Benz,CLS 350,Coupe,2987,195,55000,0, 6.67 ,22750
Land Rover,Discovery,4x4,2495,83,295000,0, 18.34 ,6500
Peugeot,5008,Monovolume/Camionnette,1560,84,97075,0, 4.53 ,10500
BMW,318 Touring,Break,1995,105,175552,0, 4.74 ,13900
Citroen,Nemo,Monovolume/Camionnette,1248,55,65000,0, 6.42 ,5950
Citroen,Berlingo,Van,1560,55,90000,0, 6.08 ,7900
Opel,Corsa,Berline,1248,55,166000,0, 4.41 ,5800
Renault,Scenic,Monovolume/Camionnette,1461,78,84000,0, 7.67 ,7999
Volvo,V40,Berline,1969,88,13700,0, 0.66 ,20990
Volkswagen,up!,Compacte,999,44,7870,0, 0.82 ,9995
BMW,118 5-TÍ_rer,Berline,1995,90,187000,0, 11.50 ,5900
Peugeot,Partner,Monovolume/Camionnette,1560,68,78000,0, 4.41 ,9450
Mercedes-Benz,B 180,Monovolume/Camionnette,1461,80,4700,0, 1.41 ,23950
Volvo,V60,Break,1560,84,121581,0, 5.33 ,12999
Volkswagen,Golf,Break,1598,85,14900,0, 0.74 ,22900
Mercedes-Benz,A 180,Monovolume/Camionnette,1991,80,138000,0, 8.25 ,6999
Skoda,Octavia,Break,1197,77,40500,0, 3.50 ,15490
Renault,Trafic,Van,1870,74,160000,0, 14.25 ,3250
Opel,Meriva,Berline,1400,74,24000,0, 1.16 ,14200
Audi,A4,Berline,1968,100,150000,0, 12.59 ,6200
Suzuki,Swift,Berline,1328,68,116000,0, 7.33 ,5990
Chevrolet,international,Break,6500,240,66077,0, 46.28 ,17500
Mercedes-Benz,C 200,Berline,1598,100,3088,0, 0.84 ,21600
Volkswagen,Transporter,Break,1968,84,10000,0, 0.66 ,29799
Volvo,S80,Berline,1560,84,83950,0, 5.08 ,14490
MINI,Cooper Clubman,Berline,1499,100,21800,0, 1.83 ,23495
Mercedes-Benz,CLA 180,Break,1461,80,12000,0, 1.41 ,27500
Mercedes-Benz,C 180,Break,1598,85,11500,0, 1.99 ,25500
Alfa Romeo,156,Berline,1598,88,119000,0, 12.75 ,4200
Suzuki,Ignis,Berline,1242,66,4700,0, 0.66 ,14500
Skoda,Superb,Berline,1598,77,106779,0, 4.50 ,12990
Hyundai,Santa Fe,Berline,2188,110,79403,0, 7.67 ,12990
BMW,316 Limousine,Berline,1995,85,71800,0, 5.25 ,17500
Citroen,C4 Picasso,Monovolume/Camionnette,1560,82,97900,0, 5.33 ,7990
Honda,CR-V,4x4,2199,110,59000,0, 5.83 ,18490
Mercedes-Benz,E 220,Berline,1950,120,27203,0, 1.33 ,56000
Toyota,Corolla,Berline,1398,74,93400,0, 8.00 ,7990
Volvo,V40,Berline,1560,84,51000,0, 5.08 ,13990
Peugeot,508 SW,Break,1997,133,20293,0, 1.50 ,29900
Suzuki,Grand Vitara,4x4,1870,95,120500,0, 10.20 ,8250
Ford,S-Max,Monovolume/Camionnette,1997,100,155306,0, 6.58 ,12500
Volkswagen,Caddy,Monovolume/Camionnette,1968,75,10500,0, 0.99 ,21500
Audi,A6,Berline,1968,100,93000,0, 3.08 ,19990
BMW,318 Limousine,Berline,1995,100,83000,0, 4.16 ,16999
Nissan,Qashqai,4x4,1461,81,66253,0, 3.41 ,17990
Toyota,Yaris,Berline,1364,66,67000,0, 2.99 ,10500
Fiat,500,Compacte,1242,51,3658,0, 2.16 ,10500
Seat,Mii,Berline,999,44,38900,0, 4.16 ,6500
BMW,1 HATCH DIESEL - 2014,Compacte,1995,85,76959,0, 3.50 ,20000
Volkswagen,Touran,Monovolume/Camionnette,1598,77,226000,0, 6.50 ,6450
